,type,times
fla-barthel-220-5.cnf,barthel,0.028173938393592834
unif-k3-r4.16-v1000000-c4160000-S3473990679862265595.cnf,unif_huge,10000.0
fla-barthel-340-1.cnf,barthel,0.6135622020810843
unif-k3-r4.2-v1000000-c4200000-S3436012548536479280.cnf,unif_huge,10000.0
fla-barthel-380-3.cnf,barthel,2.293852375820279
fla-komb-320-1.cnf,komb,0.7571037169545889
fla-qhid-200-5.cnf,qhid,0.14518429338932037
fla-qhid-220-5.cnf,qhid,0.2797840889543295
fla-qhid-220-4.cnf,qhid,0.048632632941007614
unif-k5-r18.4-v250000-c4600000-S7099425143442150496.cnf,unif_huge,10000.0
fla-komb-340-1.cnf,komb,2.3587727695703506
fla-barthel-360-4.cnf,barthel,0.028992770239710808
unif-p12-k7-r87.79-v120-c10535-S4950302271490602341.cnf,unif_medium,10000.0
fla-barthel-380-2.cnf,barthel,27.454403206706047
unif-k5-r18.2-v250000-c4550000-S4056491229056773009.cnf,unif_huge,10000.0
unif-k7-r63.0-v50000-c3150000-S883187648757620445.cnf,unif_huge,10000.0
fla-qhid-360-2.cnf,qhid,2.837199866771698
fla-barthel-320-1.cnf,barthel,0.6912368666380644
fla-komb-340-3.cnf,komb,4.5426038186997175
fla-barthel-260-5.cnf,barthel,0.18029049970209599
fla-komb-240-4.cnf,komb,0.15147659368813038
fla-komb-320-2.cnf,komb,1.9761103745549917
fla-komb-240-2.cnf,komb,0.09495753981173038
unif-k3-r4.06-v1000000-c4060000-S8854297002114571396.cnf,unif_huge,10000.0
fla-qhid-380-2.cnf,qhid,11.677425973117352
fla-komb-280-5.cnf,komb,0.4794895872473717
unif-k3-r3.98-v1000000-c3980000-S9064153533012388819.cnf,unif_huge,10000.0
unif-p12-k3-r4.267-v6000-c25602-S4960021833471409391.cnf,unif_medium,10000.0
fla-barthel-220-4.cnf,barthel,0.029802735894918442
unif-k5-r16.4-v250000-c4100000-S6787479651505253825.cnf,unif_huge,10000.0
unif-k7-r62.0-v50000-c3100000-S8604462353111796321.cnf,unif_huge,10000.0
fla-qhid-280-5.cnf,qhid,0.42857362888753414
fla-komb-320-3.cnf,komb,1.275767419487238
fla-komb-220-3.cnf,komb,0.06685933656990528
fla-qhid-280-2.cnf,qhid,0.9735201057046652
fla-komb-220-5.cnf,komb,0.22735894471406937
unif-p12-k3-r4.267-v6000-c25602-S4967461838574873878.cnf,unif_medium,10000.0
unif-k3-r3.96-v1000000-c3960000-S2241370121597250869.cnf,unif_huge,10000.0
fla-barthel-300-1.cnf,barthel,8.648148085922003
fla-komb-300-5.cnf,komb,1.6086029428988695
fla-komb-260-4.cnf,komb,0.3768432345241308
fla-qhid-340-1.cnf,qhid,3.809643093496561
fla-qhid-200-1.cnf,qhid,0.034770963713526726
fla-komb-400-3.cnf,komb,29.608376504853368
fla-komb-200-5.cnf,komb,0.046478208154439926
fla-barthel-240-5.cnf,barthel,1.058771463111043
fla-qhid-400-1.cnf,qhid,7.979501619935036
fla-barthel-220-3.cnf,barthel,0.15764791332185268
unif-k5-r16.8-v250000-c4200000-S6801814445171378634.cnf,unif_huge,10000.0
unif-p12-k3-r4.267-v6000-c25602-S549977101220318628.cnf,unif_medium,10000.0
