,type,times
fla-barthel-220-5.cnf,barthel,0.021258503198623657
unif-k3-r4.16-v1000000-c4160000-S3473990679862265595.cnf,unif_huge,415.77724658325315
fla-barthel-340-1.cnf,barthel,0.022115278989076614
unif-k3-r4.2-v1000000-c4200000-S3436012548536479280.cnf,unif_huge,1855.6917430404574
fla-barthel-380-3.cnf,barthel,0.02186271920800209
fla-komb-320-1.cnf,komb,49.36733035556972
fla-qhid-200-5.cnf,qhid,389.6290921792388
fla-qhid-220-5.cnf,qhid,10000.0
fla-qhid-220-4.cnf,qhid,0.09408914856612682
unif-k5-r18.4-v250000-c4600000-S7099425143442150496.cnf,unif_huge,10000.0
fla-komb-340-1.cnf,komb,56.41482874006033
fla-barthel-360-4.cnf,barthel,0.022961052134633064
unif-p12-k7-r87.79-v120-c10535-S4950302271490602341.cnf,unif_medium,2419.733768194914
fla-barthel-380-2.cnf,barthel,0.02636091224849224
unif-k5-r18.2-v250000-c4550000-S4056491229056773009.cnf,unif_huge,4174.126940391958
unif-k7-r63.0-v50000-c3150000-S883187648757620445.cnf,unif_huge,37.73778219334781
fla-qhid-360-2.cnf,qhid,10000.0
fla-barthel-320-1.cnf,barthel,0.028892505913972855
fla-komb-340-3.cnf,komb,391.5476413741708
fla-barthel-260-5.cnf,barthel,0.05992724932730198
fla-komb-240-4.cnf,komb,12.047222811728716
fla-komb-320-2.cnf,komb,13.253369683399796
fla-komb-240-2.cnf,komb,10.549264181405306
unif-k3-r4.06-v1000000-c4060000-S8854297002114571396.cnf,unif_huge,90.10024208016694
fla-qhid-380-2.cnf,qhid,10000.0
fla-komb-280-5.cnf,komb,17.72479854337871
unif-k3-r3.98-v1000000-c3980000-S9064153533012388819.cnf,unif_huge,41.52413800358772
unif-p12-k3-r4.267-v6000-c25602-S4960021833471409391.cnf,unif_medium,178.5163280442357
fla-barthel-220-4.cnf,barthel,0.022253302857279778
unif-k5-r16.4-v250000-c4100000-S6787479651505253825.cnf,unif_huge,14.175647841766477
