,type,times
fla-barthel-220-5.cnf,barthel,0.02177285961806774
unif-k3-r4.16-v1000000-c4160000-S3473990679862265595.cnf,unif_huge,415.77724658325315
fla-barthel-340-1.cnf,barthel,0.022162573412060738
unif-k3-r4.2-v1000000-c4200000-S3436012548536479280.cnf,unif_huge,1855.6917430404574
fla-barthel-380-3.cnf,barthel,0.020186640322208405
fla-komb-320-1.cnf,komb,20.971686460077763
fla-qhid-200-5.cnf,qhid,138.33450575731695
fla-qhid-220-5.cnf,qhid,347.39027566835284
fla-qhid-220-4.cnf,qhid,0.10858321934938431
unif-k5-r18.4-v250000-c4600000-S7099425143442150496.cnf,unif_huge,10000.0
fla-komb-340-1.cnf,komb,38.90496676042676
fla-barthel-360-4.cnf,barthel,0.023319149389863014
unif-p12-k7-r87.79-v120-c10535-S4950302271490602341.cnf,unif_medium,2419.733768194914
fla-barthel-380-2.cnf,barthel,0.02564145252108574
unif-k5-r18.2-v250000-c4550000-S4056491229056773009.cnf,unif_huge,4174.126940391958
unif-k7-r63.0-v50000-c3150000-S883187648757620445.cnf,unif_huge,37.73778219334781
fla-qhid-360-2.cnf,qhid,10000.0
fla-barthel-320-1.cnf,barthel,0.041342999786138535
fla-komb-340-3.cnf,komb,736.6882805787027
fla-barthel-260-5.cnf,barthel,0.06877905130386353
fla-komb-240-4.cnf,komb,22.920396830886602
fla-komb-320-2.cnf,komb,87.54845245741308
fla-komb-240-2.cnf,komb,2909.239745747298
unif-k3-r4.06-v1000000-c4060000-S8854297002114571396.cnf,unif_huge,90.10024208016694
fla-qhid-380-2.cnf,qhid,10000.0
fla-komb-280-5.cnf,komb,807.0392762478441
unif-k3-r3.98-v1000000-c3980000-S9064153533012388819.cnf,unif_huge,41.52413800358772
unif-p12-k3-r4.267-v6000-c25602-S4960021833471409391.cnf,unif_medium,178.5163280442357
fla-barthel-220-4.cnf,barthel,0.022656936198472977
unif-k5-r16.4-v250000-c4100000-S6787479651505253825.cnf,unif_huge,14.175647841766477
unif-k7-r62.0-v50000-c3100000-S8604462353111796321.cnf,unif_huge,10.486253052949905
fla-qhid-280-5.cnf,qhid,10000.0
fla-komb-320-3.cnf,komb,9.719211552292109
fla-komb-220-3.cnf,komb,8.770665612071753
