,type,times
fla-barthel-220-5.cnf,barthel,0.00440078298561275
unif-k3-r4.16-v1000000-c4160000-S3473990679862265595.cnf,unif_huge,409.3027406241745
fla-barthel-340-1.cnf,barthel,0.0048653739504516125
unif-k3-r4.2-v1000000-c4200000-S3436012548536479280.cnf,unif_huge,2054.9836311941035
fla-barthel-380-3.cnf,barthel,0.004339521983638406
fla-komb-320-1.cnf,komb,10000.0
fla-qhid-200-5.cnf,qhid,10000.0
fla-qhid-220-5.cnf,qhid,10000.0
fla-qhid-220-4.cnf,qhid,0.004245542921125889
unif-k5-r18.4-v250000-c4600000-S7099425143442150496.cnf,unif_huge,10000.0
fla-komb-340-1.cnf,komb,10000.0
fla-barthel-360-4.cnf,barthel,0.007683643139898777
unif-p12-k7-r87.79-v120-c10535-S4950302271490602341.cnf,unif_medium,318.91581072378904
fla-barthel-380-2.cnf,barthel,0.005582245998084545
unif-k5-r18.2-v250000-c4550000-S4056491229056773009.cnf,unif_huge,10000.0
unif-k7-r63.0-v50000-c3150000-S883187648757620445.cnf,unif_huge,22.536545132286847
fla-qhid-360-2.cnf,qhid,10000.0
fla-barthel-320-1.cnf,barthel,0.005256470059975982
fla-komb-340-3.cnf,komb,10000.0
fla-barthel-260-5.cnf,barthel,0.11813623202033341
fla-komb-240-4.cnf,komb,10000.0
fla-komb-320-2.cnf,komb,10000.0
fla-komb-240-2.cnf,komb,10000.0
unif-k3-r4.06-v1000000-c4060000-S8854297002114571396.cnf,unif_huge,88.78683510795236
fla-qhid-380-2.cnf,qhid,10000.0
fla-komb-280-5.cnf,komb,10000.0
unif-k3-r3.98-v1000000-c3980000-S9064153533012388819.cnf,unif_huge,39.28310728026554
unif-p12-k3-r4.267-v6000-c25602-S4960021833471409391.cnf,unif_medium,108.26326370658353
fla-barthel-220-4.cnf,barthel,0.00478172698058188
unif-k5-r16.4-v250000-c4100000-S6787479651505253825.cnf,unif_huge,13.495970917865634
unif-k7-r62.0-v50000-c3100000-S8604462353111796321.cnf,unif_huge,9.06497664609924
fla-qhid-280-5.cnf,qhid,10000.0
fla-komb-320-3.cnf,komb,10000.0
fla-komb-220-3.cnf,komb,158.85331377200782
fla-qhid-280-2.cnf,qhid,10000.0
fla-komb-220-5.cnf,komb,10000.0
unif-p12-k3-r4.267-v6000-c25602-S4967461838574873878.cnf,unif_medium,10000.0
unif-k3-r3.96-v1000000-c3960000-S2241370121597250869.cnf,unif_huge,32.30290960520506
fla-barthel-300-1.cnf,barthel,0.012403877917677164
