,type,times
fla-barthel-220-5.cnf,barthel,0.06708541698753834
unif-k3-r4.16-v1000000-c4160000-S3473990679862265595.cnf,unif_huge,10000.0
fla-barthel-340-1.cnf,barthel,0.07645062613300979
unif-k3-r4.2-v1000000-c4200000-S3436012548536479280.cnf,unif_huge,10000.0
fla-barthel-380-3.cnf,barthel,0.07312472490593791
fla-komb-320-1.cnf,komb,0.08739703800529242
fla-qhid-200-5.cnf,qhid,55.40432321908884
fla-qhid-220-5.cnf,qhid,191.88267774693668
fla-qhid-220-4.cnf,qhid,0.0749154279474169
unif-k5-r18.4-v250000-c4600000-S7099425143442150496.cnf,unif_huge,10000.0
fla-komb-340-1.cnf,komb,0.14507897314615548
fla-barthel-360-4.cnf,barthel,0.07372479792684317
unif-p12-k7-r87.79-v120-c10535-S4950302271490602341.cnf,unif_medium,24.251314722932875
fla-barthel-380-2.cnf,barthel,0.20215533883310854
unif-k5-r18.2-v250000-c4550000-S4056491229056773009.cnf,unif_huge,10000.0
unif-k7-r63.0-v50000-c3150000-S883187648757620445.cnf,unif_huge,10000.0
fla-qhid-360-2.cnf,qhid,174.57084187399596
fla-barthel-320-1.cnf,barthel,0.07603587303310633
fla-komb-340-3.cnf,komb,10.425952902063727
fla-barthel-260-5.cnf,barthel,0.1094431639648974
fla-komb-240-4.cnf,komb,0.0773249629419297
fla-komb-320-2.cnf,komb,0.18550678109750152
fla-komb-240-2.cnf,komb,0.1603443359490484
unif-k3-r4.06-v1000000-c4060000-S8854297002114571396.cnf,unif_huge,10000.0
fla-qhid-380-2.cnf,qhid,222.6451109398622
fla-komb-280-5.cnf,komb,0.23944613710045815
unif-k3-r3.98-v1000000-c3980000-S9064153533012388819.cnf,unif_huge,10000.0
unif-p12-k3-r4.267-v6000-c25602-S4960021833471409391.cnf,unif_medium,10000.0
fla-barthel-220-4.cnf,barthel,0.07382058189250529
unif-k5-r16.4-v250000-c4100000-S6787479651505253825.cnf,unif_huge,354.4281031440478
unif-k7-r62.0-v50000-c3100000-S8604462353111796321.cnf,unif_huge,346.91355818812735
fla-qhid-280-5.cnf,qhid,210.71887206309475
fla-komb-320-3.cnf,komb,0.11250752699561417
fla-komb-220-3.cnf,komb,0.08012622804380953
fla-qhid-280-2.cnf,qhid,213.67254928080365
fla-komb-220-5.cnf,komb,0.078043740009889
unif-p12-k3-r4.267-v6000-c25602-S4967461838574873878.cnf,unif_medium,10000.0
unif-k3-r3.96-v1000000-c3960000-S2241370121597250869.cnf,unif_huge,10000.0
fla-barthel-300-1.cnf,barthel,0.09476462402381003
fla-komb-300-5.cnf,komb,0.17197413905523717
fla-komb-260-4.cnf,komb,0.08440198889002204
fla-qhid-340-1.cnf,qhid,221.97810345492326
fla-qhid-200-1.cnf,qhid,0.06957259611226618
fla-komb-400-3.cnf,komb,0.25779053405858576
fla-komb-200-5.cnf,komb,0.0768156808335334
fla-barthel-240-5.cnf,barthel,0.15381638403050601
fla-qhid-400-1.cnf,qhid,212.9835185620468
fla-barthel-220-3.cnf,barthel,0.07269645691849291
unif-k5-r16.8-v250000-c4200000-S6801814445171378634.cnf,unif_huge,10000.0
unif-p12-k3-r4.267-v6000-c25602-S549977101220318628.cnf,unif_medium,10000.0
unif-k5-r16.2-v250000-c4050000-S613656886518361508.cnf,unif_huge,332.1968636470847
unif-p12-k7-r87.79-v120-c10535-S5582602121860341458.cnf,unif_medium,66.55268264003098
fla-barthel-380-5.cnf,barthel,0.07881182990968227
fla-komb-400-5.cnf,komb,0.12503815907984972
unif-p12-k7-r87.79-v120-c10535-S4660298026247568027.cnf,unif_medium,11.866093217860907
unif-k3-r4.08-v1000000-c4080000-S628946966701052084.cnf,unif_huge,10000.0
unif-k5-r17.0-v250000-c4250000-S5947654384939145987.cnf,unif_huge,10000.0
unif-p12-k7-r87.79-v120-c10535-S5007904325923928580.cnf,unif_medium,19.08895780192688
fla-komb-320-4.cnf,komb,0.09301207307726145
fla-barthel-240-2.cnf,barthel,0.06875281711108983
fla-komb-260-2.cnf,komb,0.09020293992944062
fla-qhid-240-3.cnf,qhid,0.06914389692246914
fla-qhid-320-1.cnf,qhid,237.13542678998783
fla-qhid-360-4.cnf,qhid,198.99202356906608
fla-komb-340-5.cnf,komb,0.1067532820161432
fla-barthel-300-4.cnf,barthel,0.07684368104673922
fla-qhid-260-1.cnf,qhid,225.16151546593755
fla-barthel-260-1.cnf,barthel,0.07600517896935344
fla-komb-260-1.cnf,komb,0.0741229651030153
unif-k5-r19.2-v250000-c4800000-S2731633484661045025.cnf,unif_huge,10000.0
fla-komb-280-3.cnf,komb,0.22065137210302055
unif-p12-k7-r87.79-v120-c10535-S7790513240682913181.cnf,unif_medium,10000.0
fla-barthel-340-2.cnf,barthel,0.08498796494677663
unif-p12-k5-r21.117-v250-c5279-S9174904490903161459.cnf,unif_medium,10000.0
fla-qhid-360-3.cnf,qhid,194.36311306618154
fla-barthel-320-4.cnf,barthel,0.07566555310040712
fla-komb-300-4.cnf,komb,0.10851708007976413
fla-qhid-360-1.cnf,qhid,202.44467409700155
fla-qhid-260-4.cnf,qhid,201.7700857471209
fla-komb-320-5.cnf,komb,0.14305094606243074
fla-qhid-200-2.cnf,qhid,59.640672090929
fla-barthel-280-1.cnf,barthel,0.07337990985251963
fla-qhid-260-5.cnf,qhid,210.98791397805326
unif-k7-r66.0-v50000-c3300000-S6452105525405296639.cnf,unif_huge,10000.0
fla-qhid-220-2.cnf,qhid,219.44360678107478
fla-qhid-320-3.cnf,qhid,219.88025829195976
unif-k7-r59.0-v50000-c2950000-S8293560195850272691.cnf,unif_huge,85.30571355391294
unif-k7-r65.0-v50000-c3250000-S2519235649038747201.cnf,unif_huge,10000.0
fla-barthel-300-3.cnf,barthel,0.07947843498550355
fla-komb-240-3.cnf,komb,0.14185588411055505
fla-qhid-340-2.cnf,qhid,206.00451661879197
fla-komb-240-5.cnf,komb,0.0793230861891061
fla-barthel-220-1.cnf,barthel,0.07049476308748126
unif-k3-r3.9-v1000000-c3900000-S934637000281618832.cnf,unif_huge,10000.0
fla-komb-260-5.cnf,komb,6.4571478040888906
fla-qhid-220-1.cnf,qhid,211.298827878898
unif-k5-r16.0-v250000-c4000000-S1951301313263461507.cnf,unif_huge,336.18725195596926
fla-qhid-400-3.cnf,qhid,0.13253928790800273
fla-barthel-360-5.cnf,barthel,0.08556339400820434
unif-p12-k5-r21.117-v250-c5279-S4195889809507179901.cnf,unif_medium,10000.0
fla-barthel-360-1.cnf,barthel,0.07604376506060362
fla-barthel-280-5.cnf,barthel,0.07936979900114238
unif-k5-r19.6-v250000-c4900000-S1619500311433205587.cnf,unif_huge,10000.0
unif-p12-k7-r87.79-v120-c10535-S1700848295905845436.cnf,unif_medium,2.63481412618421
unif-k3-r4.22-v1000000-c4220000-S8478585120714774272.cnf,unif_huge,10000.0
unif-k7-r72.0-v50000-c3600000-S1408994383594427146.cnf,unif_huge,10000.0
fla-qhid-280-4.cnf,qhid,206.69329086202197
fla-komb-200-4.cnf,komb,0.07355084014125168
fla-barthel-240-1.cnf,barthel,0.07807906507514417
fla-barthel-300-5.cnf,barthel,0.07267165090888739
fla-qhid-380-4.cnf,qhid,218.75278484309092
unif-k3-r4.0-v1000000-c4000000-S4191285608034358233.cnf,unif_huge,10000.0
unif-p12-k7-r87.79-v120-c10535-S8656562366226126891.cnf,unif_medium,10000.0
fla-qhid-340-5.cnf,qhid,195.99576943693683
fla-barthel-320-3.cnf,barthel,0.0730844282079488
fla-barthel-400-1.cnf,barthel,0.09618257777765393
fla-barthel-380-1.cnf,barthel,0.07888044696301222
unif-k3-r3.86-v1000000-c3860000-S6264851850704547129.cnf,unif_huge,10000.0
fla-barthel-340-3.cnf,barthel,0.07970193796791136
fla-qhid-400-2.cnf,qhid,214.10756219993345
fla-qhid-240-1.cnf,qhid,188.9369024981279
fla-barthel-200-5.cnf,barthel,0.0768351349979639
fla-komb-280-1.cnf,komb,0.1489176049362868
fla-barthel-200-4.cnf,barthel,0.0677285878919065
fla-qhid-300-5.cnf,qhid,218.98199911997654
unif-k7-r64.0-v50000-c3200000-S8650594619146919464.cnf,unif_huge,10000.0
fla-barthel-240-3.cnf,barthel,0.07309942087158561
fla-barthel-320-2.cnf,barthel,0.0837612240575254
