instance,nvarsOrig,nclausesOrig,nvars,nclauses,reducedVars,reducedClauses,Pre-featuretime,vars-clauses-ratio,POSNEG-RATIO-CLAUSE-mean,POSNEG-RATIO-CLAUSE-coeff-variation,POSNEG-RATIO-CLAUSE-min,POSNEG-RATIO-CLAUSE-max,POSNEG-RATIO-CLAUSE-entropy,VCG-CLAUSE-mean,VCG-CLAUSE-coeff-variation,VCG-CLAUSE-min,VCG-CLAUSE-max,VCG-CLAUSE-entropy,UNARY,BINARY+,TRINARY+,Basic-featuretime,VCG-VAR-mean,VCG-VAR-coeff-variation,VCG-VAR-min,VCG-VAR-max,VCG-VAR-entropy,POSNEG-RATIO-VAR-mean,POSNEG-RATIO-VAR-stdev,POSNEG-RATIO-VAR-min,POSNEG-RATIO-VAR-max,POSNEG-RATIO-VAR-entropy,HORNY-VAR-mean,HORNY-VAR-coeff-variation,HORNY-VAR-min,HORNY-VAR-max,HORNY-VAR-entropy,horn-clauses-fraction,VG-mean,VG-coeff-variation,VG-min,VG-max,KLB-featuretime,CG-mean,CG-coeff-variation,CG-min,CG-max,CG-entropy,cluster-coeff-mean,cluster-coeff-coeff-variation,cluster-coeff-min,cluster-coeff-max,cluster-coeff-entropy,CG-featuretime,saps_BestSolution_Mean,saps_BestSolution_CoeffVariance,saps_FirstLocalMinStep_Mean,saps_FirstLocalMinStep_CoeffVariance,saps_FirstLocalMinStep_Median,saps_FirstLocalMinStep_Q.10,saps_FirstLocalMinStep_Q.90,saps_BestAvgImprovement_Mean,saps_BestAvgImprovement_CoeffVariance,saps_FirstLocalMinRatio_Mean,saps_FirstLocalMinRatio_CoeffVariance,ls-saps-featuretime,gsat_BestSolution_Mean,gsat_BestSolution_CoeffVariance,gsat_FirstLocalMinStep_Mean,gsat_FirstLocalMinStep_CoeffVariance,gsat_FirstLocalMinStep_Median,gsat_FirstLocalMinStep_Q.10,gsat_FirstLocalMinStep_Q.90,gsat_BestAvgImprovement_Mean,gsat_BestAvgImprovement_CoeffVariance,gsat_FirstLocalMinRatio_Mean,gsat_FirstLocalMinRatio_CoeffVariance,ls-gsat-featuretime,lobjois-mean-depth-over-vars,lobjois-log-num-nodes-over-vars,lobjois-featuretime
komb/n500/gen_n500_m2600_k3SAT_seed832034019.cnf,500.0,2600.0,495.0,2594.0,0.01010101,0.00231303,0.0,0.190824981,0.498586482,0.581356125,0.0,1.0,0.635787317,0.006095652,0.043270891,0.006060606,0.008080808,0.087529153,0.0,0.0,0.982652274,0.0,0.006095652,0.262832047,0.00231303,0.011179645,2.817602158,0.213689137,0.153397651,0.0,0.80952381,3.465803363,0.003037312,0.37350887,0.000385505,0.00693909,2.462976349,0.49845798,0.011864209,0.255409217,0.00462606,0.020817271,0.0,0.009161763,0.209186637,0.00308404,0.016962221,3.013480404,0.090005532,0.221964235,0.046511628,0.222222222,2.03374887,0.04,32.2668,0.182187,120.306,0.0709328,120.0,109.0,131.0,1.04247,0.186368,0.859809,0.0357848,2.38,26.4341,0.208164,120.263,0.0747206,121.0,109.0,131.0,0.381629,0.39917,0.842797,0.0436624,2.58,0.27440225,0.48513615,2.0
komb/n500/gen_n500_m2600_k3SAT_seed2518931408.cnf,500.0,2600.0,496.0,2596.0,0.008064516,0.001540832,0.0,0.191063174,0.499422188,0.579462551,0.0,1.0,0.621132017,0.006075569,0.038270619,0.006048387,0.008064516,0.071450793,0.0,0.0,0.98651772,0.0,0.006075569,0.257909001,0.002311248,0.012326656,2.768983019,0.210443228,0.157461739,0.0,0.714285714,3.463663581,0.002945754,0.341628235,0.000385208,0.006548536,2.340875661,0.486902928,0.011823401,0.254826343,0.004622496,0.025038521,0.0,0.009096607,0.21860625,0.003466872,0.020030817,3.038317157,0.09083005,0.225862283,0.041364296,0.2,2.087579546,0.04,31.2522,0.204968,120.388,0.0721402,120.0,109.0,132.0,1.01454,0.194228,0.853396,0.037524,2.4,25.453,0.20368,120.074,0.072071,120.0,109.0,132.0,0.371956,0.376164,0.836543,0.0367846,2.64,0.273298133,0.503043719,2.0
komb/n500/gen_n500_m2600_k3SAT_seed94015970.cnf,500.0,2600.0,497.0,2597.0,0.006036217,0.001155179,0.0,0.191374663,0.49582852,0.57907453,0.0,1.0,0.591492316,0.006050163,0.02759094,0.006036217,0.00804829,0.041366501,0.0,0.0,0.993068926,0.0,0.006050163,0.245414791,0.002310358,0.010781671,2.753191242,0.215101289,0.16638354,0.0,1.0,3.528518048,0.003011523,0.347882217,0.000770119,0.006546015,2.392516077,0.498267231,0.011773374,0.241301489,0.004620716,0.021178283,0.0,0.008957345,0.2107744,0.003080477,0.017327686,2.996150765,0.09159159,0.222030534,0.047619048,0.222222222,2.071159442,0.04,31.9861,0.198537,120.44,0.0728863,120.0,109.0,131.0,1.02199,0.191543,0.857575,0.04093,2.36,26.1986,0.188104,120.569,0.070478,121.0,110.0,131.0,0.379666,0.374428,0.840792,0.0342499,2.72,0.274349987,0.471195307,2.0
komb/n500/gen_n500_m2600_k3SAT_seed1171229349.cnf,500.0,2600.0,497.0,2597.0,0.006036217,0.001155179,0.0,0.191374663,0.50057759,0.578013755,0.0,1.0,0.598271747,0.006047839,0.025211298,0.006036217,0.00804829,0.035528505,0.0,0.0,0.994224105,0.0,0.006047839,0.257876232,0.002310358,0.01193685,2.771523292,0.211788428,0.163968719,0.0,1.0,3.477498352,0.003070405,0.3428575,0.00038506,0.007701194,2.388027008,0.507893724,0.011743933,0.250277867,0.004620716,0.021178283,0.0,0.008984331,0.216183415,0.003465537,0.018097805,3.020173072,0.091542349,0.228725485,0.045212766,0.230769231,2.088292049,0.04,27.3198,0.227966,121.363,0.0737524,121.0,110.0,133.0,1.02516,0.193381,0.854494,0.0394178,2.48,22.1006,0.2229,121.486,0.0723322,122.0,110.0,133.0,0.382904,0.372206,0.839827,0.0370002,2.66,0.277648687,0.473520382,2.0
komb/n500/gen_n500_m2600_k3SAT_seed2846784053.cnf,500.0,2600.0,498.0,2598.0,0.004016064,0.000769823,0.0,0.191685912,0.504426482,0.578243216,0.0,1.0,0.598493347,0.00603569,0.025206492,0.006024096,0.008032129,0.035517059,0.0,0.0,0.994226328,0.0,0.00603569,0.256657927,0.001924557,0.011932256,2.78300419,0.198988569,0.158734128,0.0,1.0,3.458152107,0.003036781,0.366464553,0.000384911,0.007313318,2.438027254,0.50269438,0.011732844,0.252291595,0.003849115,0.022709777,0.0,0.009121424,0.203067537,0.003079292,0.016551193,2.980287567,0.089894477,0.216226195,0.048625793,0.222222222,2.024357773,0.04,35.2767,0.196135,120.215,0.0707318,120.0,109.0,131.0,1.00445,0.192292,0.850726,0.0386422,2.36,28.9899,0.254777,120.381,0.0750972,120.0,109.0,131.0,0.366203,0.422551,0.833641,0.0852841,2.64,0.271151116,0.464934423,2.0
komb/n500/gen_n500_m2600_k3SAT_seed2929389930.cnf,500.0,2600.0,498.0,2598.0,0.004016064,0.000769823,0.0,0.191685912,0.494611239,0.57902755,0.0,1.0,0.578437566,0.006031053,0.019562559,0.006024096,0.008032129,0.023083852,0.0,0.0,0.996535797,0.0,0.006031053,0.239454133,0.00269438,0.011162433,2.708436603,0.220263409,0.158737852,0.0,0.733333333,3.490741124,0.002966446,0.341383667,0.000384911,0.006543495,2.368679831,0.492301771,0.011722023,0.235032603,0.004618938,0.021170131,0.0,0.008915782,0.209649789,0.003849115,0.016166282,2.986617438,0.091815992,0.221979038,0.049833887,0.21978022,2.077942271,0.04,26.8448,0.235163,122.542,0.0727551,122.0,111.0,134.0,1.01635,0.194359,0.853565,0.0388812,2.36,21.54,0.228827,122.418,0.0705574,122.0,111.0,133.0,0.381699,0.380401,0.838417,0.0365305,2.7,0.279365417,0.49707443,2.0
komb/n500/gen_n500_m2600_k3SAT_seed1371750993.cnf,500.0,2600.0,498.0,2598.0,0.004016064,0.000769823,0.0,0.191685912,0.491788555,0.578405653,0.0,1.0,0.582088619,0.006037236,0.026817101,0.006024096,0.008032129,0.039431133,0.0,0.0,0.993456505,0.0,0.006037236,0.250756495,0.001924557,0.01308699,2.739135047,0.20150095,0.14361122,0.0,0.666666667,3.413995666,0.002967219,0.371609877,0.000384911,0.008852964,2.414569783,0.491147036,0.011694198,0.24169979,0.003849115,0.0234796,0.0,0.009043494,0.207636016,0.003849115,0.018475751,2.978962689,0.091641916,0.215109954,0.049682875,0.217948718,2.045880615,0.04,33.6803,0.173746,120.996,0.0709933,121.0,110.0,132.0,1.02183,0.186566,0.853774,0.037342,2.4,27.4229,0.173157,121.029,0.0698707,121.0,110.0,132.0,0.375019,0.36016,0.835771,0.0357642,2.54,0.271786004,0.469478265,2.0
komb/n500/gen_n500_m2600_k3SAT_seed850862736.cnf,500.0,2600.0,496.0,2596.0,0.008064516,0.001540832,0.0,0.191063174,0.499165383,0.580795498,0.0,1.0,0.636207828,0.006077899,0.039838431,0.006048387,0.008064516,0.076362815,0.0,0.0,0.985362096,0.0,0.006077899,0.253507616,0.00192604,0.013097072,2.76075142,0.221197798,0.167454627,0.0,0.733333333,3.521911316,0.002979926,0.348760083,0.0,0.00577812,2.395314398,0.49229584,0.011834274,0.249636403,0.00385208,0.025038521,0.0,0.009000157,0.2154586,0.003466872,0.017334361,3.013116939,0.091618744,0.227544024,0.045454545,0.208791209,2.094948885,0.04,28.4293,0.228046,120.867,0.0727319,121.0,110.0,132.0,1.02431,0.192971,0.85742,0.0389638,2.44,22.9195,0.216594,121.08,0.072406,121.0,110.0,132.0,0.378798,0.37191,0.842463,0.0351912,2.64,0.278348056,0.507141107,2.0
komb/n500/gen_n500_m2600_k3SAT_seed3877340932.cnf,500.0,2600.0,497.0,2597.0,0.006036217,0.001155179,0.0,0.191374663,0.498908998,0.580684435,0.0,1.0,0.599558,0.006049388,0.026822207,0.006036217,0.00804829,0.039443788,0.0,0.0,0.993453985,0.0,0.006049388,0.242714494,0.002310358,0.015017328,2.693159732,0.208021342,0.154342158,0.0,1.0,3.489846748,0.002990604,0.34377311,0.00038506,0.007316134,2.356702335,0.495186754,0.011739284,0.234019875,0.004620716,0.027339238,0.0,0.009022881,0.212378745,0.003465537,0.017327686,3.002081387,0.091518608,0.221068496,0.047342995,0.2,2.063928021,0.04,38.0632,0.155945,119.233,0.0722279,119.0,108.0,130.0,1.0353,0.187591,0.85893,0.036823,2.36,31.1371,0.160606,119.38,0.0709639,119.0,109.0,130.0,0.377939,0.365889,0.838516,0.0356636,2.66,0.271927452,0.518084844,2.0
komb/n500/gen_n500_m2600_k3SAT_seed3576518490.cnf,500.0,2600.0,496.0,2595.0,0.008064516,0.001926782,0.0,0.191136802,0.499229287,0.586096606,0.0,1.0,0.642680929,0.00607791,0.039845918,0.006048387,0.008064516,0.076386558,0.0,0.0,0.985356455,0.0,0.00607791,0.25337545,0.001541426,0.011560694,2.774092642,0.223080164,0.166351566,0.0,1.0,3.540579149,0.003070421,0.34882484,0.0,0.006165703,2.431950315,0.505973025,0.011863696,0.249248748,0.003082852,0.023121387,0.0,0.009038873,0.210126014,0.003082852,0.018882466,2.999702591,0.091463704,0.231766524,0.04244898,0.222222222,2.083517673,0.04,24.8644,0.244116,122.938,0.073392,123.0,112.0,134.0,1.01916,0.198213,0.85482,0.0395532,2.38,19.9877,0.234428,122.934,0.0723053,123.0,112.0,134.0,0.38617,0.356829,0.840721,0.0359827,2.68,0.27739456,0.482980018,2.0
