,no_restarts,with_restarts,agressive
komb/n100/gen_n100_m520_k3SAT_seed1005808149.cnf,11027184.53,6411656.69,53223.056666666664
komb/n100/gen_n100_m520_k3SAT_seed1006822760.cnf,82992.41,12579.076666666666,19070.426666666666
komb/n100/gen_n100_m520_k3SAT_seed1062750933.cnf,872376.5933333334,55864.43,45339.71
komb/n100/gen_n100_m520_k3SAT_seed1109633623.cnf,710503.1,15674.176666666666,37356.346666666665
komb/n100/gen_n100_m520_k3SAT_seed1145757507.cnf,5804046.783333333,22429.993333333332,23071.376666666667
komb/n100/gen_n100_m520_k3SAT_seed1226871283.cnf,15189472366.876667,7087419.87,62257.48333333333
komb/n100/gen_n100_m520_k3SAT_seed130110578.cnf,2071180.3333333333,21701.506666666668,41578.683333333334
komb/n100/gen_n100_m520_k3SAT_seed1347703317.cnf,12072285325.233334,100338960.0,156905.46333333335
komb/n100/gen_n100_m520_k3SAT_seed1453582680.cnf,50273.66,11163.78,9801.766666666666
komb/n100/gen_n100_m520_k3SAT_seed1590906854.cnf,20178551.36,85086.89,82621.9
komb/n100/gen_n100_m520_k3SAT_seed160910214.cnf,23632995.913333334,33700.62333333334,16688.55
komb/n100/gen_n100_m520_k3SAT_seed1612199533.cnf,39746219.69,12800.106666666667,12042.716666666667
komb/n100/gen_n100_m520_k3SAT_seed1620083718.cnf,15004967.726666667,6214116.4366666665,73458.68666666666
komb/n100/gen_n100_m520_k3SAT_seed1628116530.cnf,14276.12,14149.103333333333,6482.1866666666665
komb/n100/gen_n100_m520_k3SAT_seed1659443156.cnf,288983.79333333333,28145.06,53124.573333333334
komb/n100/gen_n100_m520_k3SAT_seed1677090217.cnf,438021.87333333335,439871.58666666667,48935.543333333335
komb/n100/gen_n100_m520_k3SAT_seed1721037354.cnf,16884745.30666667,1467468.9033333333,18770.42
komb/n100/gen_n100_m520_k3SAT_seed1729513617.cnf,174816.66666666666,116552.4,6922.79
komb/n100/gen_n100_m520_k3SAT_seed1830171280.cnf,36597071.88333333,5310987.343333334,21776.226666666666
komb/n100/gen_n100_m520_k3SAT_seed188027057.cnf,82072330.90666667,113344.68,86461.46666666666
komb/n100/gen_n100_m520_k3SAT_seed1911848522.cnf,5437291.036666667,3881690.783333333,23456.506666666668
komb/n100/gen_n100_m520_k3SAT_seed1946188981.cnf,2520516.73,2257444.0433333335,24803.713333333333
komb/n100/gen_n100_m520_k3SAT_seed1959635397.cnf,11631257.533333333,70008.92,69634.34666666666
komb/n100/gen_n100_m520_k3SAT_seed1971964491.cnf,9629880877.62,73332846.64,161527.03
komb/n100/gen_n100_m520_k3SAT_seed2037201861.cnf,41274.263333333336,33616.89333333333,35636.18
komb/n100/gen_n100_m520_k3SAT_seed2083486417.cnf,26744.766666666666,14377.683333333332,14215.413333333334
komb/n100/gen_n100_m520_k3SAT_seed2093375978.cnf,6554089.88,138395.19333333333,336184.01666666666
komb/n100/gen_n100_m520_k3SAT_seed2125934467.cnf,8528303.146666666,28024.91,42204.19666666666
komb/n100/gen_n100_m520_k3SAT_seed2137092127.cnf,97984.99666666667,14525.03,13964.433333333332
komb/n100/gen_n100_m520_k3SAT_seed2174801332.cnf,12223639.35,24959.486666666668,19164.77666666667
komb/n100/gen_n100_m520_k3SAT_seed2219686925.cnf,26437955.953333333,34510.59,72046.13333333333
komb/n100/gen_n100_m520_k3SAT_seed2234146747.cnf,79483.41333333333,20520.303333333333,35363.35
komb/n100/gen_n100_m520_k3SAT_seed2284097929.cnf,357190.08666666667,54493.21333333333,80426.11
komb/n100/gen_n100_m520_k3SAT_seed2318061935.cnf,19730989.383333333,6231344.203333333,50394.73
komb/n100/gen_n100_m520_k3SAT_seed2393671456.cnf,64420963.763333336,33453047.1,46462.81
komb/n100/gen_n100_m520_k3SAT_seed2461552814.cnf,273402.31666666665,41985.6,17978.206666666665
komb/n100/gen_n100_m520_k3SAT_seed249341165.cnf,109177.97,111138.37666666666,38564.01
komb/n100/gen_n100_m520_k3SAT_seed2497680445.cnf,633925.7166666667,73711.03,76771.55666666667
komb/n100/gen_n100_m520_k3SAT_seed2509834370.cnf,21386898.963333335,208429.21666666667,90416.84333333334
komb/n100/gen_n100_m520_k3SAT_seed2582614891.cnf,383847757.9033333,70951.07666666666,129207.15
komb/n100/gen_n100_m520_k3SAT_seed2605827635.cnf,12611136.07,48105.263333333336,24831.426666666666
komb/n100/gen_n100_m520_k3SAT_seed2663601090.cnf,1272581.5966666667,82416.9,108260.29
komb/n100/gen_n100_m520_k3SAT_seed270963825.cnf,841.4133333333333,961.62,782.74
komb/n100/gen_n100_m520_k3SAT_seed2756803949.cnf,460580.3566666667,485988.3333333333,22378.27
komb/n100/gen_n100_m520_k3SAT_seed276482055.cnf,4145315.513333333,87205.03666666667,143770.57666666666
komb/n100/gen_n100_m520_k3SAT_seed1532000823.cnf,41513.89333333333,40919.21333333333,13055.156666666666
komb/n100/gen_n100_m520_k3SAT_seed1750902960.cnf,1478.7733333333333,1834.3666666666666,1650.8933333333334
komb/n100/gen_n100_m520_k3SAT_seed2098808064.cnf,282801.15,36321.15,75819.23666666666
